No.,Date,Time,Type,Lat,Long,Vessel,Vessel Status,Boarding,Damage to property,Damage to human life,Weapon,Port/ Out Side Port Limits,Country,Location,Summary
1,03.01.2021,09:15,Military,25.12,64.30,,,,,,,Open Sea,Pakistan,Indian Ocean,A Live Firing Practice
2,03.01.2021,19:53,Robbery,18.38,-72.37,Bulk,Anchored,Yes,No,No,Yes,Port,Haiti,Americas,The security patrol discovered up to six robbers armed with a gun had managed to board the vessel using a ladder with hooks. The Chief Engineer was threatened as he was securing an open accommodation door. Ships properties were stolen.
3,04.01.2021,01:45,Robbery,-4.4253,11.4406,Container,Anchored,Yes,Yes,No,No,Port,Congo,West Africa,Three robbers onboard. Two ropes had been stolen.
4,04.01.2021,02:40,Robbery,-0.1508,117.3403,Bulk,Anchored,Yes,No,No,No,Port,Indonesia,South East Asia,Three robbers armed with knives managed to board the vessel. Ships stores were stolen.
5,04.01.2021,06:15,General Alert,26.36,56.09,Tanker,Underway,No,No,No,No,Open Sea,Oman,Indian Ocean,An interaction has occurred between a Korean flagged Tanker and the Iranian Authorities. As a result the vessel altering to a Northerly course and proceeding into Iranian Territorial Waters
6,05.01.2021,,General Alert,04.30,007.16,Passenger Boats,Underway,Yes,No,Yes,No,Port,Nigeria,West Africa,"Two Passenger Boats were Stolen. Two passengers drowned.number of passengers still missing, several survivors."
7,06.01.2021,14:00,Military,24.56,064.30,,,,,,,Open Sea,Pakistan ,Indian Ocean,A Live Firing Exercises
8,07.01.2021,21:04,Military,24.1618,066.2050,,,,,,,Open Sea,Pakistan ,Indian Ocean,Depth Charge and Live Firing Practice
9,08.01.2021,14:45,Suspicious Approach,03.38,006.17,Bulk,Underway,No,No,No,No,Open Sea,Nigeria,West Africa,"One skiff with 8 persons approached to within 0.3nm of the vessel. Due to the Master's actions and the vessels 11m freeboard, the skiff aborted the approach."
10,09.01.2021,10:44,General Alert,10.16,-076.12,?,Underway,Yes,No,No,No,Port,Columbia,Americas,"A vessel has been boarded by five perpetrators. Nothing stolen, Crew safe."
11,12.01.2021,13.32,Military,25.18,060.37,,,,,,,,Gulf of Oman,Indian Ocean,Iranian Naval exercise
12,13.01.2021,01:00,Robbery,-0.04,-051.10,Bulk ,Berthed,Yes,No,No,No,Port,Brazil,Americas,"robbers were able to board the bulk carrier, steal items of ship's property and escape unnoticed."
13,13.01.2021,09:01,Suspicious Approach,12.03235,044.28042,Bulk,Underway,No,No,No,No,Open Sea,Gulf of Aden,Indian Ocean,2 Skiffs approached on a high speed.
14,13.01.2021,19:50,Piracy Attack,02.23,005.39,Container,?,No,No,No,Yes,Open Sea,Nigeria,West Africa,One skiff s approached vessel and pirates onboard opened fire.
15,14.01.2021,08:49,Suspicious Approach,12.06,044.25,Bulk,Underway,No,No,No,No,Open Sea,Gulf of Aden,Indian Ocean,One speed boat with four persons onboard approached the vessel and ladders were sighted.
16,17.01.2021,08:45,Military,15.1947,057.5342,,,,,,,,Arabian Sea,Indian Ocean,A Live Firing Practice
17,17.01.2021,09:00,General Alert,11.5470,045.09,,,,,,,,Gulf of Aden,Indian Ocean,"A concentration of small boats approaching vessels in the vicinity of Point Alpha, ITRC"
18,17.01.2021,09:48,Suspicious Approach,12.0273,045.4660,Tanker,Underway,No,No,No,No,Open Sea,Gulf of Aden,Indian Ocean,"The skiffs had approached Vietnam flagged tanker from head and passing abeam distance 4nm, speed 20kn, 5 persons were visible"
19,18.01.2021,04:00,Robbery,-06.0205,012.2150,Container,Anchored,Yes,No,No,Yes,Port,Congo,West Africa,Robbers armed with knives boarded a vessel and stole ship's stores and escaped.
20,21.01.2021,10:08,Suspicious Approach,03.3115,006.2999,Container,Underway,No,No,No,No,Open Sea,Nigeria,West Africa,"The small craft came to within 0.3nm of the vessel, the security team onboard the vessel fired a warning shot. This resulted in the small craft aborting the approach."
21,22.01.2021,09:54,Piracy Attack,02.58,006.22,Container,Underway,Yes,Yes,Yes,?,Open Sea,Sao Tome,West Africa,"The four pirates boarded a vessel, one crew member killed."
22,23.01.2021,05:53,Piracy Attack,01.0413,005.0422,Tanker,Underway,Yes,Yes,Yes,Yes,Open Sea,Sao Tome,West Africa,"The four pirates with AK-47 boarded a vessel, one crew member killed, 15 kidnaped. Late crew has been released."
23,23.01.2021,12:00,Suspicious Approach,12.20,050.31,Cargo,Underway,No,No,No,No,Open Sea,Gulf of Aden,Indian Ocean,"While transiting ITRC met unidentify sailing vessel, visually it looks like merchant vessel with one mast ID: 419956795, Draft: 3.5m, No destination, no IMO no. In ITU this ship no exists."
24,23.01.2021,12:18,Military,25.0588,062.2227,,,,,,,Open Sea,Pakistan,Indian Ocean,A Live Firing Practice
25,23.01.2021,12:00,Military,21.06,038.5850,,,,,,,Open Sea,Red Sea,Indian Ocean,A Live Firing Exercises
26,24.01.2021,00:01,Military,26.58,052.31,,,,,,,Open Sea,Persian Gulf,Indian Ocean,A Live Firing Exercises
